Prover,N,Time
Pico,32,32.8s
SP1-AVX2,32,55.2s
SP1-AVX2-Groth16,32,2m15.9s
Risc0,32,21.9s
Pico,64,33.0s
SP1-AVX2,64,54.7s
SP1-AVX2-Groth16,64,2m12.9s
Risc0,64,21.8s
Pico,128,32.8s
SP1-AVX2,128,54.5s
SP1-AVX2-Groth16,128,2m13.9s
Risc0,128,21.9s
Pico,256,32.9s
SP1-AVX2,256,54.9s
SP1-AVX2-Groth16,256,2m14.6s
Risc0,256,21.9s
Pico,512,33.0s
SP1-AVX2,512,56.5s
SP1-AVX2-Groth16,512,2m13.5s
Risc0,512,21.9s
Pico,1024,33.1s
SP1-AVX2,1024,54.6s
SP1-AVX2-Groth16,1024,2m13.3s
Risc0,1024,26.2s
Pico,4096,33.3s
SP1-AVX2,4096,55.6s
SP1-AVX2-Groth16,4096,2m13.7s
Risc0,4096,35.2s
Pico,32768,36.9s
SP1-AVX2,32768,57.3s
SP1-AVX2-Groth16,32768,2m16.1s
Risc0,32768,2m20.8s
Pico,65536,40.8s
SP1-AVX2,65536,1m0.9s
SP1-AVX2-Groth16,65536,2m19.6s
Risc0,65536,4m6.8s
Pico,262144,1m4.6s
SP1-AVX2,262144,1m24.6s
SP1-AVX2-Groth16,262144,2m42.5s
Risc0,262144,15m40.9s
Pico,1048576,2m57.7s
SP1-AVX2,1048576,2m51.7s
SP1-AVX2-Groth16,1048576,4m10.8s
Risc0,1048576,61m30.3s
Pico,2097152,5m21.1s
SP1-AVX2,2097152,5m7.6s
SP1-AVX2-Groth16,2097152,6m34.4s
Pico,4194304,10m11.1s
SP1-AVX2,4194304,9m50.1s
SP1-AVX2-Groth16,4194304,11m11.5s
